SIN ACENTOS,cruce falso,precio_m2,lista_airbnb,Cruce
Aviacion Civil,Aviacion Civil,15185,Barrio San Marcos,#N/A
Axotla,#N/A,36961,Barrio San Mateo,#N/A
Azteca,#N/A,30531,Barrio San Miguel,#N/A
Banjidal,Banjidal,30612,Barrio San Pedro,#N/A
Barranca Seca,#N/A,38234,Barrio Santa Ana Sur,#N/A
Barrio Ahualapa,#N/A,36339,Barrio Santa Catarina,Barrio Santa Catarina
Barrio del Niño Jesus,Barrio Del Niño Jesus,59579,Barrio Santiago Centro Del Pueblo Santiago Zapotitlan,#N/A
Barrio del Niño Jesus,Barrio Del Niño Jesus,26815,Barrio Santiago Norte,#N/A
Barrio El Capuli­n,#N/A,16471,Barros Sierra,Barros Sierra
Barrio La Concepcion,Barrio La Concepcion,9534,Bejero Del Pueblo Santa Fe,Bejero del Pueblo Santa Fe
Barrio La Fama,Barrio La Fama,32438,Belisario Dominguez Seccion Xvi,Belisario Dominguez Seccion Xvi
Barrio La Lonja,Barrio La Lonja,30261,Bellavista,Bellavista
Barrio Norte,#N/A,46426,Bondojito,Bondojito
Barrio Oxtopulco Universidad,Barrio Oxtopulco Universidad,29972,Bosque,#N/A
Barrio San Francisco,Barrio San Francisco,14473,Bosque De Chapultepec I Seccion,Bosque de Chapultepec I Seccion
Barrio San Lucas,Barrio San Lucas,26803,Bosque De Chapultepec Ii Seccion,#N/A
Barrio Santa Catarina,Barrio Santa Catarina,37733,Bosque De Las Lomas,Bosque de las Lomas
Barros Sierra,Barros Sierra,22311,Bosque Residencial Del Sur,Bosque Residencial del Sur
Belisario Dominguez Seccion Xvi,#N/A,22414,Bosques De Las Lomas,Bosques de las Lomas
Bellavista,Bellavista,22092,Buenavista,Buenavista
Bosque de Chapultepec I Seccion,Bosque De Chapultepec I Seccion,30751,Buenos Aires,Buenos Aires
Bosque Residencial del Sur,Bosque Residencial Del Sur,25851,Campamento 2 De Octubre,Campamento 2 de Octubre
Bosques de las Lomas,Bosques De Las Lomas,27966,Campestre,Campestre
Bosques de las Lomas,Bosques De Las Lomas,27836,Campestre Churubusco,Campestre Churubusco
Bosques de Tetlameya,Bosques De Tetlameya,60000,Campestre Palo Alto,Campestre Palo Alto
Bosques del Pedregal,#N/A,24722,Cantera Puente De Piedra,Cantera Puente de Piedra
Buenavista,Buenavista,63611,Cantil Del Pedregal,Cantil Del Pedregal
Buenos Aires,Buenos Aires,22933,Capultitlan,#N/A
Cabeza de Juarez,#N/A,32963,Carlos A Madrazo,#N/A
Cafetales,#N/A,28822,Carola,Carola
Campamento 2 de Octubre,Campamento 2 De Octubre,30655,Centro,Centro
Campestre,Campestre,20423,Cerro De La Estrella,Cerro de La Estrella
Campestre,Campestre,43205,Cerro Del Guerrero,#N/A
Campestre Churubusco,Campestre Churubusco,42680,Chimalistac,Chimalistac
Campestre Palo Alto,Campestre Palo Alto,35971,Churubusco Country Club,Churubusco Country Club
Cantera Puente de Piedra,Cantera Puente De Piedra,41824,Ciudad De Los Deportes,Ciudad de los Deportes
Cantil Del Pedregal,Cantil Del Pedregal,28663,Ciudad Jardin,Ciudad Jardin
Carmen Serdan,#N/A,30114,Ciudad Universitaria,#N/A
Carola,Carola,13355,Claveria,Claveria
Casa Blanca,#N/A,17750,Colina Del Sur,Colina del Sur
Cedros,#N/A,19556,Colinas Del Ajusco,Colinas del Ajusco
Centro,Centro,57210,Colinas Del Bosque,Colinas del Bosque
Centro Medico Siglo XXI,#N/A,18924,Comuneros De Santa Ursula,#N/A
Cerro de La Estrella,Cerro De La Estrella,46789,Condesa,Condesa
Chapultepec Morales,#N/A,37666,Constitucion De 1917,Constitucion de 1917
Chichicaspatl,#N/A,28507,Contadero,Contadero
Chimalcoyotl,#N/A,42152,Cooperativa Palo Alto,Cooperativa Palo Alto
Chimalistac,Chimalistac,37214,Copilco El Alto,Copilco El Alto
Chimalli,#N/A,17488,Copilco El Bajo,Copilco El Bajo
Chimilli,#N/A,51768,Copilco Universidad,Copilco Universidad
Chinampac de Juarez,Chinampac De Juarez,49699,Cove,#N/A
Churubusco Country Club,Churubusco Country Club,33929,Credito Constructor,#N/A
Ciudad de los Deportes,Ciudad De Los Deportes,39744,Cuadrante De San Francisco,Cuadrante de San Francisco
Ciudad Jardin,Ciudad Jardin,39628,Cuajimalpa,Cuajimalpa
Claveria,Claveria,38673,Cuauhtemoc,Cuauhtemoc
Club de Golf Bosques,#N/A,45713,Cuauhtemoc Pensil,Cuauhtemoc Pensil
Club de Golf Mexico,#N/A,15259,Cuchilla Agricola Oriental,Cuchilla Agricola Oriental
Colina del Sur,Colina Del Sur,41905,Cuchilla Pantitlan,Cuchilla Pantitlan
